Title	Category		Filename	URL	Date Created	Date
Ep 129 - Bennett Meltdown Pt. 6 Sarah Ann Whitney	History	https://nakedmormonismpodcast.com/episode-129-bennett-meltdown-part-6-sarah-ann-whitney/	Ep 129 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-129-bennett-meltdown-pt-6-sarah-ann-whitney	Fri, 16 Nov 2018 07:19:55 +0000	11/16/2018 7:19:55
Ep 130 - Quadrennial Airlift Rescue	History	https://nakedmormonismpodcast.com/episode-130-quadrennial-airlift-rescue/	Episode 130 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-130-quadrennial-airlift-rescue	Fri, 23 Nov 2018 00:00:00 +0000	11/23/2018 0:00:00
Ep 131 - BM Pt. 7 A Corny Escape	History	https://nakedmormonismpodcast.com/episode-131-bennett-meltdown-part-7-corny-escape/	Episode 131 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-131-bm-pt-7-a-corny-escape	Fri, 30 Nov 2018 08:18:31 +0000	11/30/2018 8:18:31
Ep 132 - BM Pt. 8 2 Bennetts for 1	History	https://nakedmormonismpodcast.com/episode-132-bennett-meltdown-part-8-2-bennetts-1/	Episode 132 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-132-bm-pt-8-2-bennetts-for-1	Fri, 07 Dec 2018 06:58:56 +0000	12/7/2018 6:58:56
Ep 133 - BM Pt. 9 Moral or Physical Force	History	https://nakedmormonismpodcast.com/episode-133-bennett-meltdown-part-9-moral-physical-force/	Episode 133 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-133-bm-pt-9-moral-or-physical-force	Fri, 14 Dec 2018 07:34:20 +0000	12/14/2018 7:34:20
Ep 134 - BM Pt. 10 @OrsonHydeYoWife	History	https://nakedmormonismpodcast.com/episode-134-bennett-meltdown-part-10-orsonhydeyowife/	Episode 134 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-134-bm-pt-10-orsonhydeyowife	Fri, 21 Dec 2018 01:00:00 +0000	12/21/2018 1:00:00
Ep 135 - Frederick G. Williams in Memoriam	History	https://nakedmormonismpodcast.com/episode-135-frederick-g-williams-memoriam/	Episode 135 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-135-frederick-g-williams-in-memoriam	Fri, 28 Dec 2018 03:00:00 +0000	12/28/2018 3:00:00
Ep 136 - To Deprive a Citizen His Liberty	History	https://nakedmormonismpodcast.com/episode-136-deprive-citizen-liberty/	Episode 136 notes updated.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-136-to-deprive-a-citizen-his-liberty	Fri, 04 Jan 2019 06:41:34 +0000	1/4/2019 6:41:34
Ep 137 - Emma’ Stairway to Hell	History	https://nakedmormonismpodcast.com/episode-137-emmas-stairway-hell/	Episode 137 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-137-emma-stairway-to-hell	Fri, 11 Jan 2019 07:31:52 +0000	1/11/2019 7:31:52
Ep 138 - Full Faith and Credit with Andrew Torrez	History	https://nakedmormonismpodcast.com/episode-138-full-faith-credit-andrew-torrez/	Episode 138 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-138-full-faith-and-credit-with-andrew-torrez	Fri, 18 Jan 2019 00:33:45 +0000	1/18/2019 0:33:45
Ep 139 - A City of Glass Houses	History	https://nakedmormonismpodcast.com/episode-139-city-glass-houses/	Episode 139 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-139-a-city-of-glass-houses	Wed, 30 Jan 2019 18:00:22 +0000	1/30/2019 18:00:22
Ep 140 - William Miller’s Bible Math	History	https://nakedmormonismpodcast.com/episode-140-william-millers-bible-math/	Episode 140 updated notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-140-william-millers-bible-math	Fri, 01 Feb 2019 04:00:00 +0000	2/1/2019 4:00:00
Ep 141 - Plight of the Unwed Mother	History	https://nakedmormonismpodcast.com/episode-141-plight-unwed-mother/	Episode 141 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-141-plight-of-the-unwed-mother	Fri, 08 Feb 2019 04:00:00 +0000	2/8/2019 4:00:00
Ep 142 - Pistol Packin’ Porter in Prison	History	https://nakedmormonismpodcast.com/episode-142-pistol-packin-porter-prison/	Episode 142 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-142-pistol-packin-porter-in-prison	Fri, 15 Feb 2019 04:30:00 +0000	2/15/2019 4:30:00
Ep 143 - Kinderhoax Plates	History	https://nakedmormonismpodcast.com/episode-143-kinderhoax-plates/	Episode 143 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-143-kinderhoax-plates	Fri, 22 Feb 2019 04:30:00 +0000	2/22/2019 4:30:00
Ep 144 - If You Stir I’ll Shoot; God Damn You!	History	https://nakedmormonismpodcast.com/episode-144-stir-ill-shoot-god-damn/	Episode 144 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-144-if-you-stir-ill-shoot-god-damn-you	Fri, 01 Mar 2019 04:30:00 +0000	3/1/2019 4:30:00
Ep 145 - The Corruption of Their Leaders	History	https://nakedmormonismpodcast.com/episode-145-corruption-leaders/	Episode 145 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-145-the-corruption-of-their-leaders	Fri, 08 Mar 2019 04:30:00 +0000	3/8/2019 4:30:00
Ep 146 - I’ll See My Enemies in Hell	History	https://nakedmormonismpodcast.com/episode-146-ill-see-enemies-hell/	Episode 146 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-146-ill-see-my-enemies-in-hell	Fri, 15 Mar 2019 04:30:52 +0000	3/15/2019 4:30:52
Ep 147 - First They Came	History	https://nakedmormonismpodcast.com/episode-147-first-came/	Episode 147 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-147-first-they-came	Fri, 22 Mar 2019 03:30:00 +0000	3/22/2019 3:30:00
